id,name,is_company,street,city,country_id/id,phone,email,supplier_rank,customer_rank,comment
somgreen.partner_cust_aamino_shop,AAMINO SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_aaran_shop,AARAN SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abdiladhiif_shop,ABDILADHIIF SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abdiqadir_basto,ABDIQADIR BASTO,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abdiqadir_jannegale,ABDIQADIR JANNEGALE,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abdirashiid_shop,ABDIRASHIID SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abdirsaaq_shop,ABDIRSAAQ SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abdullahi_dheere_shop_balcad,ABDULLAHI DHEERE SHOP BALCAD,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abow_shop,ABOW SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_abshir_cali_kiiner,ABSHIR CALI KIINER,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_afrax_super_market,AFRAX SUPER MARKET,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ahlan_shoping_center,AHLAN SHOPING CENTER,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ahmed_abdi,AHMED ABDI,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ahmed_adan_baydhabo,AHMED ADAN ( BAYDHABO),1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ahmed_shire_daahir,AHMED SHIRE DAAHIR,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ahmed_yare,AHMED YARE,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_al_cadaala,AL CADAALA,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_al_macruuf_bussiness,AL MACRUUF BUSSINESS,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_al_mucalim_shop,AL MUCALIM SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_alamagan_shop,ALAMAGAN SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_alamin_shop,ALAMIN SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_alamin_shop_towfiiq,ALAMIN SHOP TOWFIIQ,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_albayaan_super_market,ALBAYAAN SUPER MARKET,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_alfurqaan_shop,ALFURQAAN SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ali_ganeey,ALI GANEEY,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ali_mataan_shop,ALI MATAAN SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ali_yare_shop,ALI YARE SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_alla_aamin_shop_waberi,ALLA AAMIN SHOP WABERI,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_alraxma_supermarket_2,ALRAXMA SUPERMARKET 2,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_anfac_shp_balcad,ANFAC SHP BALCAD,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_asal_shop,ASAL SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_axmed_juujule,AXMED JUUJULE,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_ayaan_shop,AYAAN SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_baabu_raqiis,BAABU RAQIIS,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_baabu_raqiis_caano_gelka,BAABU RAQIIS CAANO GELKA,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_baabu_raqiis_celasha,BAABU RAQIIS CELASHA,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_baaka_cade_shop,BAAKA CADE SHOP,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_bakaaro_1_supermarket,BAKAARO 1 SUPERMARKET,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_bakharka_samadon_2,BAKHARKA SAMADON 2,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_bambaas_supermarket,BAMBAAS SUPERMARKET,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_baraxow_supermarket,BARAXOW SUPERMARKET,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaaro,BAREES BAKAARO,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaaro_mohamed,BAREES BAKAARO MOHAMED,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaaro_abdi_salan,BAREES BAKAARO ABDI SALAN,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaaro_bare_celasha,BAREES BAKAARO BARE CELASHA,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaaro_cumar,BAREES BAKAARO CUMAR,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaaro_kaxda,BAREES BAKAARO KAXDA,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaro_axmed,BAREES BAKARO AXMED,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaro_ciise,BAREES BAKARO CIISE,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaro_macmacnka,BAREES BAKARO MACMACNKA,1,,Mogadishu,base.so,,,0,1,
somgreen.partner_cust_barees_bakaro_midnimo,BAREES BAKARO MIDNIMO,1,,Mogadishu,base.so,,,0,1,
